house_type,house_size,city,location,,price
Studio ,400,Delhi,Kalkaji,,22000
Studio ,400,Delhi,Mansarover Garden,,20000
2BHK ,500,Delhi,Uttam Nagar,,8500
3BHK ,"1,020",Delhi,Model Town,,48000
2BHK ,810,Delhi,Sector 13 Rohini,,20000
3BHK ,750,Delhi,DLF Farms,,11000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,200",Delhi,Swasthya Vihar,,35000
3BHK ,"1,100",Delhi,Janakpuri,,39000
4BHK ,"2,500",Delhi,Pitampura,,90000
2BHK ,"1,162",Delhi,Gagan Vihar,,10000
3BHK ,900,Delhi,Dabri,,20000
2BHK ,750,Delhi,Govindpuri Extension,,15000
2BHK ,"1,100",Delhi,Paschim Vihar,,24000
2BHK ,"1,150",Delhi,Vijay Nagar,,35000
3BHK ,"2,000",Delhi,Vasant Kunj,,59000
1BHK ,"1,350",Delhi,Safdarjung Enclave,,35000
2BHK ,"1,000",Delhi,Vasant Kunj,,45000
3BHK ,"1,100",Delhi,Janakpuri,,32500
4BHK ,"2,200",Delhi,Hauz Khas,,220000
3BHK ,"1,800",Delhi,Bali Nagar,,43000
2BHK ,900,Delhi,Rajouri Garden,,30000
3BHK ,"1,350",Delhi,Shalimar Bagh,,68000
3BHK ,"1,850",Delhi,Rajouri Garden,,55000
1BHK ,"1,500",Delhi,Green Park,,40000
3BHK ,"1,300",Delhi,Vasant Kunj,,40000
3BHK ,"1,440",Delhi,Dr Mukherji Nagar,,60000
1BHK ,600,Delhi,Subhash Nagar,,20000
1BHK ,750,Delhi,DLF Phase 5,,33500
Studio ,300,Delhi,Patel Nagar,,15500
3BHK ,"1,600",Delhi,Jasola,,43000
2BHK ,"2,400",Delhi,Dwarka Mor,,11000
3BHK ,"2,000",Delhi,Kaushambi,,34000
3BHK ,"2,025",Delhi,Surajmal Vihar,,58000
3BHK ,"1,500",Delhi,Sector 4 Dwarka,,38000
3BHK ,"2,200",Delhi,Sector 6 Dwarka,,60000
3BHK ,600,Delhi,Vasant Kunj,,25000
3BHK ,700,Delhi,Sector 14 Dwarka,,18000
2BHK ,900,Delhi,Sarvodaya Enclave,,65000
3BHK ,"1,350",Delhi,Paschim Vihar,,44000
3BHK ,"1,050",Delhi,Uttam Nagar,,28500
3BHK ,450,Delhi,Chattarpur,,18000
8BHK ,"7,200",Delhi,DLF Farms,,1400000
1BHK ,680,Delhi,Patel Nagar,,17140
2BHK ,650,Delhi,Uttam Nagar,,12000
1BHK ,600,Delhi,Ramesh Nagar,,17000
2BHK ,"1,100",Delhi,Mayur Vihar II,,22000
2BHK ,"1,125",Delhi,Naraina,,30000
3BHK ,"1,800",Delhi,Greater Kailash,,70000
3BHK ,"2,500",Delhi,DLF Phase 5,,65000
3BHK ,"1,250",Delhi,Chittaranjan Park,,48000
Studio ,400,Delhi,Green Park,,20000
3BHK ,800,Delhi,Naraina,,14000
2BHK ,900,Delhi,Sector 19 Dwarka,,25000
3BHK ,"1,500",Delhi,Sector 23 Dwarka,,35000
3BHK ,"1,900",Delhi,Sector 6 Dwarka,,42000
3BHK ,"1,801",Delhi,Lajpat Nagar III,,59999
4BHK ,"2,700",Delhi,Mansarover Garden,,50000
4BHK ,"3,000",Delhi,South Extension 2,,250000
3BHK ,"1,960",Delhi,Sector-18 Dwarka,,30000
2BHK ,720,Delhi,Chattarpur,,15000
2BHK ,"1,050",Delhi,Vasant Kunj,,35000
2BHK ,650,Delhi,Mansa Ram Park,,12500
3BHK ,"2,250",Delhi,Paschim Vihar,,65000
3BHK ,"2,000",Delhi,Sector 23 Dwarka,,40000
3BHK ,"2,700",Delhi,Safdarjung Enclave,,95000
2BHK ,"1,100",Delhi,Sector 19 Dwarka,,25000
Studio ,400,Delhi,Gautam Nagar,,14000
3BHK ,"1,800",Delhi,Sector 22 Dwarka,,30000
2BHK ,950,Delhi,Sheikh Sarai,,22000
2BHK ,500,Delhi,Govindpuri,,13000
3BHK ,"1,700",Delhi,Sector 13 Dwarka,,33000
4BHK ,"2,300",Delhi,Paschim Vihar,,45000
4BHK ,"5,000",Delhi,Shanti Niketan,,625000
3BHK ,"1,800",Delhi,Pitampura,,58000
3BHK ,"2,000",Delhi,Defence Colony,,120000
3BHK ,"1,800",Delhi,Sector 22 Dwarka,,60000
1BHK ,700,Delhi,Uttam Nagar,,8500
1BHK ,500,Delhi,Sector 19 Dwarka,,12000
3BHK ,"1,125",Delhi,Malviya Nagar,,29500
2BHK ,900,Delhi,Shalimar Bagh,,32000
3BHK ,840,Delhi,Sector 23 Rohini,,15000
3BHK ,990,Delhi,Uttam Nagar,,15000
3BHK ,350,Delhi,Kirti Nagar,,17000
1BHK ,360,Delhi,Badarpur,,8000
1BHK ,450,Delhi,Lajpat Nagar I,,17000
3BHK ,"1,900",Delhi,Rajouri Garden,,50000
2BHK ,750,Delhi,Sector-7 Rohini,,15000
2BHK ,480,Delhi,Uttam Nagar,,6500
3BHK ,450,Delhi,Sector 23B Dwarka,,10300
4BHK ,"3,000",Delhi,vikaspuri,,76000
3BHK ,600,Delhi,SULTANPUR,,14000
3BHK ,"1,900",Delhi,Sector 11 Dwarka,,45000
1BHK ,450,Delhi,Mansa Ram Park,,8500
Studio ,340,Delhi,Model Town,,16000
Studio ,360,Delhi,Karampura,,22000
2BHK ,"1,800",Delhi,Greater Kailash,,50000
3BHK ,600,Delhi,Munirka,,14100
2BHK ,800,Delhi,Mahavir Enclave,,16000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
3BHK ,"1,300",Delhi,laxmi nagar,,20000
4BHK ,"2,700",Delhi,Greater kailash 1,,150000
3BHK ,"1,872",Delhi,Greater kailash 1,,100000
4BHK ,"3,000",Delhi,Panchsheel Park,,150000
3BHK ,"2,700",Delhi,Safdarjung Enclave,,150000
3BHK ,550,Delhi,Sector 13 Dwarka,,25000
3BHK ,"2,200",Delhi,Sector 12 Dwarka,,48000
3BHK ,"1,600",Delhi,Sector 7 Dwarka,,34000
3BHK ,"1,600",Delhi,Sector 7 Dwarka,,33600
3BHK ,"1,800",Delhi,Pitampura,,55000
2BHK ,720,Delhi,Janakpuri,,30000
3BHK ,"1,350",Delhi,Janakpuri,,42000
1BHK ,495,Delhi,Janakpuri,,18000
2BHK ,540,Delhi,Bindapur,,20000
1BHK ,450,Delhi,Alaknanda,,11000
2BHK ,500,Delhi,Govindpuri Extension,,15000
1BHK ,450,Delhi,Dabri,,10000
1BHK ,450,Delhi,Dabri,,9000
3BHK ,900,Delhi,Dabri,,22000
2BHK ,900,Delhi,Dabri,,13000
2BHK ,450,Delhi,Dabri,,10500
1BHK ,360,Delhi,Sitapuri,,8000
2BHK ,630,Delhi,Dashrath Puri,,13000
2BHK ,630,Delhi,Dashrath Puri,,13000
3BHK ,900,Delhi,Dabri,,21000
2BHK ,945,Delhi,Janakpuri,,16000
1BHK ,450,Delhi,Bindapur,,9000
3BHK ,"1,350",Delhi,Janakpuri,,35000
2BHK ,900,Delhi,Dabri,,14000
1BHK ,390,Delhi,Dabri,,8000
2BHK ,765,Delhi,Manglapuri,,12000
1BHK ,360,Delhi,Dabri,,8500
3BHK ,"1,890",Delhi,Janakpuri,,52000
2BHK ,"1,350",Delhi,Janakpuri,,30000
3BHK ,"1,350",Delhi,Janakpuri,,50000
2BHK ,745,Delhi,Dabri,,14000
3BHK ,"2,025",Delhi,Janakpuri,,40000
3BHK ,"1,350",Delhi,Janakpuri,,43000
3BHK ,990,Delhi,Dabri,,19000
3BHK ,"1,485",Delhi,Janakpuri,,42000
1BHK ,540,Delhi,Bindapur,,10000
1BHK ,450,Delhi,Dabri,,9000
2BHK ,816,Delhi,Janakpuri,,32000
2BHK ,816,Delhi,Janakpuri,,32000
3BHK ,900,Delhi,Dabri,,22000
3BHK ,"1,800",Delhi,Dabri,,21000
