title,url,price,location,beds,baths,type,posted,agent,featured,posted_days,district,municipality,bhk_from_title,type_from_title,semi_furnished,fully_furnished,brand_new,private_gate
"2BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-0/,37000,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2,2,flat,51 days ago,NPB-Rent-Synthetic,False,51,Kathmandu,budhalinkantha main road,2,flat,1,0,0,0
"2BHK Commercial Rent in Chunikhel, Budhanilkantha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-1/,39500,"Chunikhel, Budhanilkantha-13, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagmati Province, Nepal",2,1,commercial,17 days ago,NPB-Rent-Synthetic,False,17,Kathmandu,Budhanilkantha,2,commercial,0,0,1,1
"2BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-2/,26000,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2,1,flat,37 days ago,NPB-Rent-Synthetic,True,37,Kathmandu,budhalinkantha main road,2,flat,1,0,0,0
"2BHK Flat Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-3/,24500,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",2,1,flat,51 days ago,NPB-Rent-Synthetic,True,51,Kathmandu,Makkhan Tol,2,flat,0,0,0,0
"2BHK Flat Rent in Ghattekulo, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-4/,24500,"Ghattekulo, Kathmandu-29, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 00446, Nepal",2,2,flat,55 days ago,NPB-Rent-Synthetic,True,55,Kathmandu,Kathmandu,2,flat,0,0,0,1
"4BHK Flat Rent in Lazimpat, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-5/,53000,"Lazimpat, Kathmandu-02, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 14600, Nepal",4,2,flat,51 days ago,NPB-Rent-Synthetic,False,51,Kathmandu,Kathmandu,4,flat,0,0,0,0
"2BHK Flat Rent in Micro bus station, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-6/,32000,"Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",2,2,flat,50 days ago,NPB-Rent-Synthetic,True,50,Bhaktapur,Araniko Highway,2,flat,0,0,1,0
"2BHK Flat Rent in Tokha, Tokha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-7/,27000,"Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",2,2,flat,19 days ago,NPB-Rent-Synthetic,False,19,Kathmandu,Tokha,2,flat,0,1,0,0
"2BHK Commercial Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-8/,79000,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2,2,commercial,1 days ago,NPB-Rent-Synthetic,False,1,Kathmandu,budhalinkantha main road,2,commercial,1,0,0,0
"1BHK Flat Rent in Buddhanilkantha Bus Stop, Golfutar Main Road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-9/,8000,"Buddhanilkantha Bus Stop, Golfutar Main Road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",1,1,flat,59 days ago,NPB-Rent-Synthetic,False,59,Kathmandu,Golfutar Main Road,1,flat,0,0,1,0
"2BHK Commercial Rent in kapan->> jagadol road, Budhanilkantha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-10/,70000,"kapan->> jagadol road, Budhanilkantha-11, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 21740, Nepal",2,1,commercial,2 days ago,NPB-Rent-Synthetic,True,2,Kathmandu,Budhanilkantha,2,commercial,0,0,0,0
"3BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-11/,49000,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",3,1,flat,22 days ago,NPB-Rent-Synthetic,False,22,Kathmandu,budhalinkantha main road,3,flat,0,0,0,0
"1BHK Flat Rent in Dhungedhara, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-12/,27000,"Dhungedhara, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",1,1,flat,40 days ago,NPB-Rent-Synthetic,True,40,Kathmandu,Kathmandu,1,flat,0,0,1,0
"3BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-13/,45500,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",3,1,flat,45 days ago,NPB-Rent-Synthetic,False,45,Kathmandu,budhalinkantha main road,3,flat,0,0,0,0
"4BHK Flat Rent in Buddhanilkantha Bus Stop, Golfutar Main Road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-14/,44000,"Buddhanilkantha Bus Stop, Golfutar Main Road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",4,1,flat,14 days ago,NPB-Rent-Synthetic,False,14,Kathmandu,Golfutar Main Road,4,flat,0,0,0,1
"1BHK Flat Rent in Micro bus station, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-15/,10500,"Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",1,2,flat,50 days ago,NPB-Rent-Synthetic,True,50,Bhaktapur,Araniko Highway,1,flat,0,0,1,1
"2BHK Commercial Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-16/,21500,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",2,1,commercial,6 days ago,NPB-Rent-Synthetic,False,6,Kathmandu,Saraswati Nagar Marga,2,commercial,0,0,0,0
"2BHK Flat Rent in Lazimpat, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-17/,27000,"Lazimpat, Kathmandu-02, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 14600, Nepal",2,1,flat,18 days ago,NPB-Rent-Synthetic,False,18,Kathmandu,Kathmandu,2,flat,1,0,1,0
"1BHK Flat Rent in Baneshwor Banquet, Saraswati Marg, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-18/,18000,"Baneshwor Banquet, Saraswati Marg, Thapa Gaun, Buddha Nagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",1,1,flat,28 days ago,NPB-Rent-Synthetic,True,28,Kathmandu,Saraswati Marg,1,flat,0,0,0,0
"0BHK Commercial Rent in Micro bus station, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-19/,39000,"Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",0,2,commercial,21 days ago,NPB-Rent-Synthetic,True,21,Bhaktapur,Araniko Highway,0,commercial,0,0,1,0
"2BHK Flat Rent in Lubhu, Mahalaxmi, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-20/,34500,"Lubhu, Mahalaxmi-08, Mahalaxmi, Mahalaxmi Municipality, Lalitpur, Bagamati Province, 44708, Nepal",2,1,flat,48 days ago,NPB-Rent-Synthetic,True,48,Lalitpur,Mahalaxmi,2,flat,0,0,0,0
"3BHK Commercial Rent in Mahankal, Mahankal Road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-21/,48000,"Mahankal, Mahankal Road, Pani Tanki, Baudha, Kathmandu-06, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44602, Nepal",3,2,commercial,31 days ago,NPB-Rent-Synthetic,True,31,Kathmandu,Mahankal Road,3,commercial,0,0,0,1
"3BHK Flat Rent in Dhungedhara, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-22/,36000,"Dhungedhara, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",3,1,flat,26 days ago,NPB-Rent-Synthetic,True,26,Kathmandu,Kathmandu,3,flat,0,0,0,0
"2BHK Flat Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-23/,19500,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",2,1,flat,6 days ago,NPB-Rent-Synthetic,True,6,Lalitpur,Tutepani,2,flat,0,0,0,1
"2BHK Flat Rent in Lubhu, Mahalaxmi, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-24/,19500,"Lubhu, Mahalaxmi-08, Mahalaxmi, Mahalaxmi Municipality, Lalitpur, Bagamati Province, 44708, Nepal",2,1,flat,50 days ago,NPB-Rent-Synthetic,False,50,Lalitpur,Mahalaxmi,2,flat,0,1,0,0
"1BHK Room Rent in Mahankal, Mahankal Road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-25/,11000,"Mahankal, Mahankal Road, Pani Tanki, Baudha, Kathmandu-06, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44602, Nepal",1,1,room,23 days ago,NPB-Rent-Synthetic,False,23,Kathmandu,Mahankal Road,1,room,0,0,1,0
"2BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-26/,24500,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2,1,flat,1 days ago,NPB-Rent-Synthetic,False,1,Kathmandu,budhalinkantha main road,2,flat,0,0,0,1
"2BHK Flat Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-27/,20500,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",2,2,flat,29 days ago,NPB-Rent-Synthetic,True,29,Kathmandu,Saraswati Nagar Marga,2,flat,0,0,1,0
"1BHK Flat Rent in Tokha, Tokha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-28/,11000,"Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",1,1,flat,57 days ago,NPB-Rent-Synthetic,True,57,Kathmandu,Tokha,1,flat,0,0,0,0
"3BHK Flat Rent in Chunikhel, Budhanilkantha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-29/,45500,"Chunikhel, Budhanilkantha-13, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagmati Province, Nepal",3,1,flat,37 days ago,NPB-Rent-Synthetic,False,37,Kathmandu,Budhanilkantha,3,flat,0,0,0,0
"3BHK Flat Rent in Purano Thimi- Naya Thimi, Inaya Tole, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-30/,40500,"Purano Thimi- Naya Thimi, Inaya Tole, Madhyapur Thimi-05, Inaya Tole, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",3,1,flat,35 days ago,NPB-Rent-Synthetic,True,35,Bhaktapur,Inaya Tole,3,flat,0,0,0,0
"1BHK Flat Rent in Lubhu, Mahalaxmi, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-31/,25000,"Lubhu, Mahalaxmi-08, Mahalaxmi, Mahalaxmi Municipality, Lalitpur, Bagamati Province, 44708, Nepal",1,2,flat,26 days ago,NPB-Rent-Synthetic,True,26,Lalitpur,Mahalaxmi,1,flat,0,0,0,0
"3BHK Flat Rent in Tokha, Tokha, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-32/,34000,"Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",3,1,flat,7 days ago,NPB-Rent-Synthetic,False,7,Kathmandu,Tokha,3,flat,0,0,1,0
"1BHK Flat Rent in Sankhamul Marg, Shankhamul Chok, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-33/,10000,"Sankhamul Marg, Shankhamul Chok, Buddhnagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",1,2,flat,4 days ago,NPB-Rent-Synthetic,True,4,Kathmandu,Shankhamul Chok,1,flat,1,0,0,0
"2BHK Flat Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-34/,20000,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",2,2,flat,15 days ago,NPB-Rent-Synthetic,False,15,Kathmandu,Saraswati Nagar Marga,2,flat,0,0,0,1
"3BHK Flat Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-35/,32500,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",3,1,flat,Today,NPB-Rent-Synthetic,True,0,Lalitpur,Tutepani,3,flat,0,0,0,0
"1BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-36/,14000,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",1,1,flat,3 days ago,NPB-Rent-Synthetic,True,3,Kathmandu,budhalinkantha main road,1,flat,0,0,0,0
"1BHK Flat Rent in Sankhamul Marg, Shankhamul Chok, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-37/,9000,"Sankhamul Marg, Shankhamul Chok, Buddhnagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",1,1,flat,48 days ago,NPB-Rent-Synthetic,True,48,Kathmandu,Shankhamul Chok,1,flat,0,0,0,0
"1BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-38/,10500,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",1,2,flat,55 days ago,NPB-Rent-Synthetic,True,55,Lalitpur,Lalitpur,1,flat,0,0,0,1
"2BHK Flat Rent in Dhungedhara, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-39/,37000,"Dhungedhara, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",2,1,flat,54 days ago,NPB-Rent-Synthetic,False,54,Kathmandu,Kathmandu,2,flat,1,0,1,1
"1BHK Room Rent in kausaltar, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-40/,7000,"kausaltar, Araniko Highway, sachet marga tole, Kaushaltar, Madhyapur Thimi-02, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44810, Nepal",1,1,room,48 days ago,NPB-Rent-Synthetic,False,48,Bhaktapur,Araniko Highway,1,room,0,1,1,0
"1BHK Flat Rent in Dhapakhel, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-41/,22500,"Dhapakhel, Lalitpur-24, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagmati Province, 41700, Nepal",1,2,flat,6 days ago,NPB-Rent-Synthetic,True,6,Lalitpur,Lalitpur,1,flat,0,1,0,0
"1BHK Room Rent in Lazimpat, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-42/,11500,"Lazimpat, Kathmandu-02, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 14600, Nepal",1,1,room,32 days ago,NPB-Rent-Synthetic,True,32,Kathmandu,Kathmandu,1,room,0,0,0,0
