title,url,price,location,beds,baths,type,posted,agent,featured,posted_days,district,municipality,bhk_from_title,type_from_title,semi_furnished,fully_furnished,brand_new,private_gate
"2BHK Flat Rent in Tokha, Near Om Shanti Chowk, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-tokha-near-om-shanti-chowk-kathmandu/,20000.0,"Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",2.0,1.0,flat,13 hours ago,NPB-Rent,True,0,Kathmandu,Tokha,2.0,flat,0,0,0,0
"1BHK Semi Furnished Flat Rent in Chunikhel, Tusal, Budhanilkantha, Kapan, Kathmandu",https://nepalpropertybazaar.com/property/1bhk-semi-furnished-flat-rent-in-chunikhel-tusal-budhanilkantha-kapan-kathmandu/,15000.0,"Chunikhel, Budhanilkantha-13, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagmati Province, Nepal",1.0,1.0,flat,15 hours ago,NPB-Rent,True,0,Kathmandu,Budhanilkantha,1.0,flat,1,0,0,0
"2BK Flat Rent in Lubhu, Lalitpur",https://nepalpropertybazaar.com/property/2bk-flat-rent-in-lubhu-lalitpur-3/,13000.0,"Lubhu, Mahalaxmi-08, Mahalaxmi, Mahalaxmi Municipality, Lalitpur, Bagamati Province, 44708, Nepal",2.0,1.0,flat,15 hours ago,NPB-Rent,True,0,Lalitpur,Mahalaxmi,2.0,flat,0,0,0,0
"2 Rooms Rent in Mahankal, Boudha, Kathmandu",https://nepalpropertybazaar.com/property/2-rooms-rent-in-mahankal-boudha-kathmandu/,9500.0,"Mahankal, Mahankal Road, Pani Tanki, Baudha, Kathmandu-06, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44602, Nepal",2.0,1.0,room,16 hours ago,NPB-Rent,True,0,Kathmandu,Mahankal Road,2.0,room,0,0,0,0
"3BK Flat Rent in Baneshwor, Kathmandu",https://nepalpropertybazaar.com/property/3bk-flat-rent-in-baneshwor-kathmandu/,35000.0,"Baneshwor Banquet, Saraswati Marg, Thapa Gaun, Buddha Nagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",3.0,1.0,flat,16 hours ago,NPB-Rent,True,0,Kathmandu,Saraswati Marg,3.0,flat,0,0,0,0
"Single Room Rent in Chabahil, Gangahiti, Kathmandu",https://nepalpropertybazaar.com/property/single-room-rent-in-chabahil-gangahiti-kathmandu/,10500.0,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",1.0,1.0,flat,19 hours ago,NPB-Rent,True,0,Kathmandu,Saraswati Nagar Marga,1.0,room,0,0,0,0
"1 Large Commercial Space Rent in Ghattekulo Chowk, Kathmandu",https://nepalpropertybazaar.com/property/1-large-commercial-space-rent-in-ghattekulo-chowk-kathmandu/,20000.0,"Ghattekulo, Kathmandu-29, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 00446, Nepal",0.0,1.0,commercial,2 days ago,NPB-Rent,True,2,Kathmandu,Kathmandu,0.0,commercial,0,0,0,0
"2BHK Flat Rent in Budhanilkantha, Near Muhan Pokhari, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-budhanilkantha-near-muhan-pokhari-kathmandu/,15000.0,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",2.0,1.0,flat,2 days ago,NPB-Rent,True,2,Kathmandu,budhalinkantha main road,2.0,flat,0,0,0,0
"4BK Flat Rent in Basantapur, Kathmandu",https://nepalpropertybazaar.com/property/4bk-flat-rent-in-basantapur-kathmandu/,30000.0,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",4.0,2.0,flat,2 days ago,NPB-Rent,True,2,Kathmandu,Makkhan Tol,4.0,flat,0,0,0,0
"2BHK Flat Rent in Thimi, Kamerotar, Bhaktapur",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-thimi-kamerotar-bhaktapur/,20000.0,"Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",2.0,1.0,flat,2 days ago,NPB-Rent,True,2,Bhaktapur,Araniko Highway,2.0,flat,0,0,0,0
