title,url,price,location,beds,baths,type,posted,agent,featured
"2BHK Flat Rent in Tokha, Near Om Shanti Chowk, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-tokha-near-om-shanti-chowk-kathmandu/,"Rs20,000/Month","Tokha, Tokha Municipality, Kathmandu, Bagamati Province, 44606, Nepal",Beds:2,Bath:1,Flat / Apartment,13 hours ago,NPB-Rent,True
"1BHK Semi Furnished Flat Rent in Chunikhel, Tusal, Budhanilkantha, Kapan, Kathmandu",https://nepalpropertybazaar.com/property/1bhk-semi-furnished-flat-rent-in-chunikhel-tusal-budhanilkantha-kapan-kathmandu/,"Rs15,000/Month","Chunikhel, Budhanilkantha-13, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagmati Province, Nepal",Bed:1,Bath:1,Flat / Apartment,15 hours ago,NPB-Rent,True
"2BK Flat Rent in Lubhu, Lalitpur",https://nepalpropertybazaar.com/property/2bk-flat-rent-in-lubhu-lalitpur-3/,"Rs13,000/Month","Lubhu, Mahalaxmi-08, Mahalaxmi, Mahalaxmi Municipality, Lalitpur, Bagamati Province, 44708, Nepal",Beds:2,Bath:1,Flat / Apartment,15 hours ago,NPB-Rent,True
"2 Rooms Rent in Mahankal, Boudha, Kathmandu",https://nepalpropertybazaar.com/property/2-rooms-rent-in-mahankal-boudha-kathmandu/,"Rs9,500/Month","Mahankal, Mahankal Road, Pani Tanki, Baudha, Kathmandu-06, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44602, Nepal",Beds:2,Bath:1,Room,16 hours ago,NPB-Rent,True
"3BK Flat Rent in Baneshwor, Kathmandu",https://nepalpropertybazaar.com/property/3bk-flat-rent-in-baneshwor-kathmandu/,"Rs35,000/Month","Baneshwor Banquet, Saraswati Marg, Thapa Gaun, Buddha Nagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",Beds:3,Bath:1,Flat / Apartment,16 hours ago,NPB-Rent,True
"Single Room Rent in Chabahil, Gangahiti, Kathmandu",https://nepalpropertybazaar.com/property/single-room-rent-in-chabahil-gangahiti-kathmandu/,"Rs10,500/Month","Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",Bed:1,Bath:1,Flat / Apartment,19 hours ago,NPB-Rent,True
"1 Large Commercial Space Rent in Ghattekulo Chowk, Kathmandu",https://nepalpropertybazaar.com/property/1-large-commercial-space-rent-in-ghattekulo-chowk-kathmandu/,"Rs20,000/Month","Ghattekulo, Kathmandu-29, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 00446, Nepal",,Bath:1,Commercial,2 days ago,NPB-Rent,True
"2BHK Flat Rent in Budhanilkantha, Near Muhan Pokhari, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-budhanilkantha-near-muhan-pokhari-kathmandu/,"Rs15,000/Month","Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",Beds:2,Bath:1,Flat / Apartment,2 days ago,NPB-Rent,True
"4BK Flat Rent in Basantapur, Kathmandu",https://nepalpropertybazaar.com/property/4bk-flat-rent-in-basantapur-kathmandu/,"Rs30,000/Month","Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",Beds:4,Baths:2,Flat / Apartment,2 days ago,NPB-Rent,True
"2BHK Flat Rent in Thimi, Kamerotar, Bhaktapur",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-thimi-kamerotar-bhaktapur/,"Rs20,000/Month","Micro bus station, Araniko Highway, Balkumari, Madhyapur Thimi-04, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44811, Nepal",Beds:2,Bath:1,Flat / Apartment,2 days ago,NPB-Rent,True
