title,url,price,location,beds,baths,type,posted,agent,featured
"Room Rent in Budhanilkantha, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-budhanilkantha-lalitpur-350/,"Rs6,500/Month","Budhanilkantha, Lalitpur, Bagamati Province, 44743, Nepal",Bed:1,Bath:1,Room,11 days ago,RealEstate-Nepal,True
"6 BHK House Rent in Tokha, Kathmandu",https://nepalpropertybazaar.com/property/6-bhk-house-rent-in-tokha-kathmandu-825/,"Rs219,000/Month","Tokha, Kathmandu, Bagmati Province, 44712, Nepal",Beds:6,Baths:4,House,23 hours ago,Nepal-Property-Hub,True
"4BHK Flat Rent in Gothatar, Kathmandu",https://nepalpropertybazaar.com/property/4bhk-flat-rent-in-gothatar-kathmandu-742/,"Rs40,000/Month","Gothatar, Kathmandu, Bagmati Province, 44781, Nepal",Beds:4,Bath:1,Flat / Apartment,15 hours ago,RealEstate-Nepal,False
"3BHK Flat Rent in Balkhu, Lalitpur",https://nepalpropertybazaar.com/property/3bhk-flat-rent-in-balkhu-lalitpur-900/,"Rs29,500/Month","Balkhu, Lalitpur, Bagamati Province, 44663, Nepal",Beds:3,Baths:3,Flat / Apartment,23 hours ago,Nepal-Property-Hub,False
"3BHK Flat Rent in Baneshwor, Bhaktapur",https://nepalpropertybazaar.com/property/3bhk-flat-rent-in-baneshwor-bhaktapur-648/,"Rs18,000/Month","Baneshwor, Bhaktapur, Bagamati Province, 44785, Nepal",Beds:3,Baths:3,Flat / Apartment,9 days ago,RealEstate-Nepal,False
"Room Rent in Dhobighat, Kathmandu",https://nepalpropertybazaar.com/property/room-rent-in-dhobighat-kathmandu-107/,"Rs10,000/Month","Dhobighat, Kathmandu, Bagmati Province, 44703, Nepal",Bed:1,Bath:1,Room,27 hours ago,RealEstate-Nepal,False
"Commercial Space/Villa Rent in Sanepa, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-sanepa-bhaktapur-620/,"Rs252,500/Month","Sanepa, Bhaktapur, Bagamati Province, 44734, Nepal",Beds:7,Baths:2,Commercial,18 days ago,RealEstate-Nepal,True
"Room Rent in Koteshwor, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-koteshwor-lalitpur-825/,"Rs11,000/Month","Koteshwor, Lalitpur, Bagamati Province, 44750, Nepal",Bed:1,Bath:1,Room,25 days ago,RealEstate-Nepal,False
"Commercial Space/Villa Rent in Battisputali, Kathmandu",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-battisputali-kathmandu-547/,"Rs409,000/Month","Battisputali, Kathmandu, Bagamati Province, 44707, Nepal",Beds:9,Baths:3,Villa,2 hours ago,RealEstate-Nepal,False
"Commercial Space/Villa Rent in Suryabinayak, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-suryabinayak-lalitpur-390/,"Rs456,000/Month","Suryabinayak, Lalitpur, Bagmati Province, 44679, Nepal",Beds:7,Baths:3,Villa,29 hours ago,Hamro-Ghar,True
"Commercial Space/Villa Rent in Lubhu, Kathmandu",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-lubhu-kathmandu-284/,"Rs333,500/Month","Lubhu, Kathmandu, Bagmati Province, 44629, Nepal",Beds:6,Baths:3,Commercial,5 days ago,Hamro-Ghar,True
"Commercial Space/Villa Rent in Budhanilkantha, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-budhanilkantha-lalitpur-969/,"Rs252,500/Month","Budhanilkantha, Lalitpur, Bagmati Province, 44777, Nepal",Beds:6,Baths:3,Villa,5 hours ago,RealEstate-Nepal,False
"Room Rent in Baneshwor, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-baneshwor-lalitpur-380/,"Rs9,500/Month","Baneshwor, Lalitpur, Bagmati Province, 44787, Nepal",Bed:1,Bath:1,Room,28 hours ago,RealEstate-Nepal,False
"Room Rent in Kapan, Kathmandu",https://nepalpropertybazaar.com/property/room-rent-in-kapan-kathmandu-696/,"Rs14,500/Month","Kapan, Kathmandu, Bagmati Province, 44633, Nepal",Bed:1,Bath:1,Room,25 hours ago,Nepal-Property-Hub,True
"Commercial Space/Villa Rent in Sitapaila, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-sitapaila-bhaktapur-122/,"Rs217,000/Month","Sitapaila, Bhaktapur, Bagamati Province, 44733, Nepal",Beds:7,Baths:1,Villa,24 days ago,NPB-Rent,False
"Commercial Space/Villa Rent in Balkhu, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-balkhu-bhaktapur-873/,"Rs382,000/Month","Balkhu, Bhaktapur, Bagamati Province, 44779, Nepal",Beds:2,Baths:3,Villa,25 hours ago,RealEstate-Nepal,False
"1BHK Flat Rent in Bhaisepati, Lalitpur",https://nepalpropertybazaar.com/property/1bhk-flat-rent-in-bhaisepati-lalitpur-575/,"Rs40,000/Month","Bhaisepati, Lalitpur, Bagmati Province, 44634, Nepal",Bed:1,Baths:2,Flat / Apartment,17 days ago,NPB-Rent,False
"Commercial Space/Villa Rent in Balkhu, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-balkhu-bhaktapur-544/,"Rs228,500/Month","Balkhu, Bhaktapur, Bagamati Province, 44747, Nepal",Beds:3,Baths:3,Commercial,25 days ago,Hamro-Ghar,False
"Commercial Space/Villa Rent in Nayabazar, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-nayabazar-bhaktapur-675/,"Rs272,000/Month","Nayabazar, Bhaktapur, Bagamati Province, 44623, Nepal",Beds:5,Baths:4,Villa,7 days ago,RealEstate-Nepal,True
"Commercial Space/Villa Rent in Dhobighat, Kathmandu",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-dhobighat-kathmandu-245/,"Rs204,000/Month","Dhobighat, Kathmandu, Bagamati Province, 44616, Nepal",Beds:9,Baths:3,Commercial,15 hours ago,Hamro-Ghar,True
"Room Rent in Koteshwor, Bhaktapur",https://nepalpropertybazaar.com/property/room-rent-in-koteshwor-bhaktapur-553/,"Rs8,500/Month","Koteshwor, Bhaktapur, Bagmati Province, 44603, Nepal",Bed:1,Bath:1,Room,23 days ago,NPB-Rent,True
"Commercial Space/Villa Rent in Naxal, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-naxal-bhaktapur-616/,"Rs106,500/Month","Naxal, Bhaktapur, Bagmati Province, 44694, Nepal",Beds:10,Baths:3,Commercial,8 days ago,Hamro-Ghar,True
"2BHK Flat Rent in Naxal, Bhaktapur",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-naxal-bhaktapur-715/,"Rs44,000/Month","Naxal, Bhaktapur, Bagamati Province, 44752, Nepal",Beds:2,Bath:1,Flat / Apartment,11 hours ago,RealEstate-Nepal,True
"Commercial Space/Villa Rent in Boudha, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-boudha-bhaktapur-269/,"Rs344,000/Month","Boudha, Bhaktapur, Bagmati Province, 44773, Nepal",Beds:3,Baths:4,Commercial,16 days ago,Nepal-Property-Hub,False
"4BHK Flat Rent in Mahankal, Lalitpur",https://nepalpropertybazaar.com/property/4bhk-flat-rent-in-mahankal-lalitpur-764/,"Rs50,500/Month","Mahankal, Lalitpur, Bagamati Province, 44611, Nepal",Beds:4,Baths:2,Flat / Apartment,18 days ago,RealEstate-Nepal,True
"Commercial Space/Villa Rent in Nayabazar, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-nayabazar-bhaktapur-344/,"Rs321,000/Month","Nayabazar, Bhaktapur, Bagamati Province, 44640, Nepal",Beds:5,Baths:2,Commercial,22 hours ago,NPB-Rent,True
"Room Rent in Kalanki, Bhaktapur",https://nepalpropertybazaar.com/property/room-rent-in-kalanki-bhaktapur-732/,"Rs5,000/Month","Kalanki, Bhaktapur, Bagamati Province, 44799, Nepal",Bed:1,Bath:1,Room,29 hours ago,Nepal-Property-Hub,False
"Commercial Space/Villa Rent in Tokha, Kathmandu",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-tokha-kathmandu-607/,"Rs421,500/Month","Tokha, Kathmandu, Bagamati Province, 44663, Nepal",Beds:4,Baths:1,Commercial,7 hours ago,Hamro-Ghar,True
"Commercial Space/Villa Rent in Boudha, Kathmandu",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-boudha-kathmandu-834/,"Rs146,000/Month","Boudha, Kathmandu, Bagamati Province, 44656, Nepal",Beds:6,Baths:1,Villa,17 days ago,RealEstate-Nepal,False
"Commercial Space/Villa Rent in Kapan, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-kapan-bhaktapur-770/,"Rs237,000/Month","Kapan, Bhaktapur, Bagamati Province, 44610, Nepal",Beds:10,Baths:3,Villa,29 hours ago,NPB-Rent,True
"Commercial Space/Villa Rent in Budhanilkantha, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-budhanilkantha-bhaktapur-518/,"Rs335,000/Month","Budhanilkantha, Bhaktapur, Bagamati Province, 44784, Nepal",Beds:5,Baths:3,Villa,10 hours ago,NPB-Rent,False
"Room Rent in Thimi, Kathmandu",https://nepalpropertybazaar.com/property/room-rent-in-thimi-kathmandu-476/,"Rs8,500/Month","Thimi, Kathmandu, Bagamati Province, 44614, Nepal",Bed:1,Bath:1,Room,5 hours ago,Nepal-Property-Hub,True
"Room Rent in Jhamsikhel, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-jhamsikhel-lalitpur-391/,"Rs14,500/Month","Jhamsikhel, Lalitpur, Bagmati Province, 44789, Nepal",Bed:1,Bath:1,Room,22 days ago,NPB-Rent,True
"4 BHK House Rent in Balkhu, Kathmandu",https://nepalpropertybazaar.com/property/4-bhk-house-rent-in-balkhu-kathmandu-995/,"Rs59,500/Month","Balkhu, Kathmandu, Bagamati Province, 44640, Nepal",Beds:4,Baths:5,House,5 hours ago,Hamro-Ghar,False
"Commercial Space/Villa Rent in Kapan, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-kapan-lalitpur-846/,"Rs296,000/Month","Kapan, Lalitpur, Bagamati Province, 44677, Nepal",Beds:5,Baths:3,Commercial,28 days ago,Hamro-Ghar,False
"8 BHK House Rent in Suryabinayak, Kathmandu",https://nepalpropertybazaar.com/property/8-bhk-house-rent-in-suryabinayak-kathmandu-731/,"Rs81,000/Month","Suryabinayak, Kathmandu, Bagmati Province, 44672, Nepal",Beds:8,Baths:3,House,24 days ago,Hamro-Ghar,True
"3BHK Flat Rent in Sinamangal, Bhaktapur",https://nepalpropertybazaar.com/property/3bhk-flat-rent-in-sinamangal-bhaktapur-868/,"Rs39,500/Month","Sinamangal, Bhaktapur, Bagamati Province, 44652, Nepal",Beds:3,Baths:2,Flat / Apartment,10 hours ago,RealEstate-Nepal,False
"2BHK Flat Rent in Budhanilkantha, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-budhanilkantha-kathmandu-907/,"Rs20,000/Month","Budhanilkantha, Kathmandu, Bagmati Province, 44707, Nepal",Beds:2,Baths:2,Flat / Apartment,9 hours ago,Nepal-Property-Hub,False
"Commercial Space/Villa Rent in Balaju, Kathmandu",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-balaju-kathmandu-993/,"Rs397,500/Month","Balaju, Kathmandu, Bagamati Province, 44622, Nepal",Beds:6,Baths:1,Villa,17 days ago,Hamro-Ghar,False
"3BHK Flat Rent in Jorpati, Bhaktapur",https://nepalpropertybazaar.com/property/3bhk-flat-rent-in-jorpati-bhaktapur-267/,"Rs57,000/Month","Jorpati, Bhaktapur, Bagamati Province, 44657, Nepal",Beds:3,Baths:2,Flat / Apartment,23 days ago,NPB-Rent,True
"Commercial Space/Villa Rent in Boudha, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-boudha-bhaktapur-614/,"Rs353,000/Month","Boudha, Bhaktapur, Bagmati Province, 44666, Nepal",Beds:6,Baths:2,Commercial,30 hours ago,RealEstate-Nepal,True
"2BHK Flat Rent in Dhobighat, Lalitpur",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-dhobighat-lalitpur-221/,"Rs53,000/Month","Dhobighat, Lalitpur, Bagamati Province, 44661, Nepal",Beds:2,Baths:3,Flat / Apartment,22 days ago,RealEstate-Nepal,False
"6 BHK House Rent in Thamel, Lalitpur",https://nepalpropertybazaar.com/property/6-bhk-house-rent-in-thamel-lalitpur-544/,"Rs147,000/Month","Thamel, Lalitpur, Bagamati Province, 44709, Nepal",Beds:6,Baths:5,House,11 hours ago,RealEstate-Nepal,True
"Room Rent in Tokha, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-tokha-lalitpur-659/,"Rs14,000/Month","Tokha, Lalitpur, Bagmati Province, 44646, Nepal",Bed:1,Bath:1,Room,11 days ago,NPB-Rent,False
"Room Rent in Gothatar, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-gothatar-lalitpur-965/,"Rs12,500/Month","Gothatar, Lalitpur, Bagmati Province, 44771, Nepal",Bed:1,Bath:1,Room,6 days ago,NPB-Rent,True
"Room Rent in Balkhu, Bhaktapur",https://nepalpropertybazaar.com/property/room-rent-in-balkhu-bhaktapur-694/,"Rs7,000/Month","Balkhu, Bhaktapur, Bagamati Province, 44761, Nepal",Bed:1,Bath:1,Room,21 days ago,RealEstate-Nepal,False
"Commercial Space/Villa Rent in Koteshwor, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-koteshwor-lalitpur-347/,"Rs445,000/Month","Koteshwor, Lalitpur, Bagamati Province, 44663, Nepal",Beds:8,Baths:1,Commercial,21 hours ago,RealEstate-Nepal,False
"1BHK Flat Rent in Dhumbarahi, Kathmandu",https://nepalpropertybazaar.com/property/1bhk-flat-rent-in-dhumbarahi-kathmandu-390/,"Rs48,000/Month","Dhumbarahi, Kathmandu, Bagamati Province, 44699, Nepal",Bed:1,Baths:2,Flat / Apartment,16 days ago,Hamro-Ghar,True
"4BHK Flat Rent in Battisputali, Bhaktapur",https://nepalpropertybazaar.com/property/4bhk-flat-rent-in-battisputali-bhaktapur-304/,"Rs31,500/Month","Battisputali, Bhaktapur, Bagamati Province, 44706, Nepal",Beds:4,Bath:1,Flat / Apartment,27 hours ago,RealEstate-Nepal,False
"Commercial Space/Villa Rent in Gothatar, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-gothatar-lalitpur-706/,"Rs380,500/Month","Gothatar, Lalitpur, Bagamati Province, 44612, Nepal",Beds:10,Baths:2,Villa,28 hours ago,NPB-Rent,True
"4 BHK House Rent in Chunikhel, Bhaktapur",https://nepalpropertybazaar.com/property/4-bhk-house-rent-in-chunikhel-bhaktapur-118/,"Rs218,500/Month","Chunikhel, Bhaktapur, Bagmati Province, 44609, Nepal",Beds:4,Baths:3,House,20 days ago,Nepal-Property-Hub,True
"2BHK Flat Rent in Sanepa, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-sanepa-kathmandu-559/,"Rs38,500/Month","Sanepa, Kathmandu, Bagamati Province, 44699, Nepal",Beds:2,Bath:1,Flat / Apartment,16 hours ago,Hamro-Ghar,False
"Room Rent in Kalanki, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-kalanki-lalitpur-805/,"Rs8,000/Month","Kalanki, Lalitpur, Bagamati Province, 44600, Nepal",Bed:1,Bath:1,Room,11 hours ago,NPB-Rent,True
"8 BHK House Rent in Balaju, Bhaktapur",https://nepalpropertybazaar.com/property/8-bhk-house-rent-in-balaju-bhaktapur-508/,"Rs117,500/Month","Balaju, Bhaktapur, Bagamati Province, 44650, Nepal",Beds:8,Baths:4,House,10 hours ago,NPB-Rent,False
